0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:06 +0800] "GET /login.html HTTP/1.1" 200 11825
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:07 +0800] "GET /statics/images/checkLoginPic/0.jpg HTTP/1.1" 404 157
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:07 +0800] "GET /statics/images/checkLoginPic/7.jpg HTTP/1.1" 200 19608
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:11 +0800] "GET /sys/user/setPhoneSend?phone=15011540723 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:28 +0800] "POST /sys/login HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:28 +0800] "GET /index.html HTTP/1.1" 200 5348
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:28 +0800] "GET /sys/user/info?_1561080208369 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:28 +0800] "GET /main.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:28 +0800] "GET /sys/menu/nav?_1561080208367 HTTP/1.1" 200 9580
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:50 +0800] "GET /modules/meeting/edit_meeting.html HTTP/1.1" 200 22838
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:50 +0800] "GET /statics/js/region.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:50 +0800] "GET /statics/js/modules/meeting/edit_meeting.js HTTP/1.1" 200 22980
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:50 +0800] "POST /sys/dict/list?type=meetingType HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:23:52 +0800] "GET /statics/css/bootstrap.min.css.map HTTP/1.1" 404 156
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:24:20 +0800] "POST /picture/list HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /index.html HTTP/1.1" 200 5348
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/css/bootstrap.min.css HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/css/all-skins.min.css HTTP/1.1" 200 40917
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/css/AdminLTE.min.css HTTP/1.1" 200 90180
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/css/main.css HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/css/font-awesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/css/element.css HTTP/1.1" 200 198714
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/libs/jquery.min.js HTTP/1.1" 200 85582
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/libs/vue.2.5.16.js HTTP/1.1" 200 300250
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/libs/router.js HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/libs/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/libs/app.js HTTP/1.1" 200 24052
0:0:0:0:0:0:0:1 - - [21/Jun/2019:09:25:25 +0800] "GET /statics/plugins/layer/layer.js HTTP/1.1" 200 21344
